,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
325,Western Connecticut State University,190 White St,Danbury,24 Hours,3,-73.442053,41.39936
326,MINI OF FFD CTY,154 US-1 154 post rd,Darien,24 Hours,2,-73.4569573,41.089032
327,Delamar West Hartford - Tesla Destination,1 Memorial Rd,West Hartford,24 Hours,3,-72.737672,41.760566
328,Connecticut Department of Motor Vehicles,60 State St,Wethersfield,Regular,1,-72.655754,41.71866250000001
329,Mill Plain Diner - Tesla Destination,14 Mill Plain Rd,Danbury,24 Hours,1,-73.494706,41.38756
330,Sherman Green,1451 Post Rd,Fairfield,24 Hours,1,-73.256774,41.140584
331,Stamford Government Center Garage,888 Washington Blvd,Stamford,24 Hours,3,-73.542499,41.051637
332,Z Airport Parking,3 International Dr,East Granby,24 Hours,1,-72.709138,41.928233
333,Hyatt Regency Greenwich - Tesla Destination,1800 E Putnam Ave,Greenwich,24 Hours,2,-73.566753,41.046329
334,Surface Parking Lot,121 Main St,New Britain,24 Hours,2,-72.781161,41.666233
335,Deep River Library,150 Main St,Deep River,24 Hours,1,-72.43670100000001,41.386805
336,State House Square,10-90 State House Square,Hartford,24 Hours,1,-72.671417,41.766822
337,City of Milford - Train Station Parking,1 Railroad Ave,Milford,24 Hours,2,-73.060012,41.222682
338,Hammonasset Beach State Park - Meig's Point Nature Center,1288 Boston Post Rd,Madison,24 Hours,4,-72.546017,41.251952
339,Grossman Nissan,295 Middlesex Turnpike,Old Saybrook,Regular,1,-72.383105,41.309276
340,"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 Hours,4,-72.351072,41.28331
341,Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 Hours,1,-73.264399,41.142923
342,Metro Center 1,One Station Place,Stamford,24 Hours,1,-73.542177,41.046112
343,Dinosaur State Park and Arboretum,400 West St,Rockyhill,Regular,2,-72.658514,41.651179
344,Staples High School,70 North Avenue,Westport,Regular,2,-73.3304754,41.1526176
345,Windham Town Hall,979 Main St,Windham,24 Hours,2,-72.217506,41.71292
346,West Hartford - Town Hall,50 S Main St,West Hartford,Regular,2,-72.741204,41.758754
348,City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 Hours,3,-72.928369,41.304245
349,Minor Memorial Library,23 South St,Roxbury,24 Hours,1,-73.30764000000002,41.55358
350,Szczesny Parking Garage,31 Bank St,New Britain,24 Hours,2,-72.78037,41.666879
351,GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 Hours,1,-72.241254,41.80199700000001
352,AAMCO EV,133 Pitkin St,East Hartford,24 Hours,2,-72.65266880000001,41.7632299
353,Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 Hours,3,-73.201059,41.697035
354,Brass Mill Center - Entrance 3,495 Union St,Waterbury,Regular,4,-73.023973,41.549008
355,COMM LOT STA 1,13 Durant Ave.,Bethel,24 Hours,2,-73.4178034,41.3762377
356,Waterbury-Oxford Airport,300 Christian St,Oxford,24 Hours,2,-73.146142,41.477151000000006
